2111.txt,P2,GER,high
3379.txt,P3,GER,high
55.txt,P1,GER,high
7565.txt,P6,GER,medium
8427.txt,P7,GER,high
5636.txt,P4,GER,high
5774.txt,P5,GER,high
10069.txt,P8,GER,medium
2914.txt,P2,GER,medium
4293.txt,P3,GER,high
592.txt,P1,GER,high
7826.txt,P6,GER,high
256.txt,P7,GER,medium
4798.txt,P4,GER,low
7139.txt,P5,GER,high
10420.txt,P8,GER,high
3148.txt,P2,GER,high
3605.txt,P3,GER,high
1781.txt,P1,GER,high
7836.txt,P6,GER,high
8477.txt,P7,GER,medium
5689.txt,P4,GER,high
6197.txt,P5,GER,high
9684.txt,P8,GER,high
2820.txt,P2,GER,medium
4030.txt,P3,GER,medium
758.txt,P1,GER,high
7354.txt,P6,GER,high
8637.txt,P7,GER,medium
5090.txt,P4,GER,high
5950.txt,P5,GER,high
10326.txt,P8,GER,high
2405.txt,P2,GER,high
3963.txt,P3,GER,high
1384.txt,P1,GER,high
7319.txt,P6,GER,high
8376.txt,P7,GER,high
4818.txt,P4,GER,high
6832.txt,P5,GER,medium
10188.txt,P8,GER,high
2156.txt,P2,GER,high
3718.txt,P3,GER,high
1166.txt,P1,GER,high
7303.txt,P6,GER,high
289.txt,P7,GER,high
5234.txt,P4,GER,high
6051.txt,P5,GER,high
10613.txt,P8,GER,high
2593.txt,P2,GER,high
3972.txt,P3,GER,medium
734.txt,P1,GER,medium
7506.txt,P6,GER,medium
285.txt,P7,GER,high
4680.txt,P4,GER,medium
6309.txt,P5,GER,medium
9987.txt,P8,GER,high
3133.txt,P2,GER,high
4212.txt,P3,GER,high
924.txt,P1,GER,high
7706.txt,P6,GER,high
8865.txt,P7,GER,high
5519.txt,P4,GER,medium
6006.txt,P5,GER,high
10113.txt,P8,GER,medium
2545.txt,P2,GER,high
3650.txt,P3,GER,high
417.txt,P1,GER,high
7385.txt,P6,GER,high
8140.txt,P7,GER,medium
4561.txt,P4,GER,high
6529.txt,P5,GER,high
10247.txt,P8,GER,medium
2336.txt,P2,GER,low
3327.txt,P3,GER,high
1758.txt,P1,GER,high
7719.txt,P6,GER,high
8548.txt,P7,GER,high
4598.txt,P4,GER,high
5953.txt,P5,GER,medium
9637.txt,P8,GER,high
2231.txt,P2,GER,high
4233.txt,P3,GER,medium
686.txt,P1,GER,low
7439.txt,P6,GER,medium
8679.txt,P7,GER,high
4781.txt,P4,GER,high
7060.txt,P5,GER,medium
9626.txt,P8,GER,high
3143.txt,P2,GER,medium
4236.txt,P3,GER,medium
1749.txt,P1,GER,high
7941.txt,P6,GER,high
8541.txt,P7,GER,high
5721.txt,P4,GER,medium
6824.txt,P5,GER,high
9681.txt,P8,GER,high
2147.txt,P2,GER,high
4082.txt,P3,GER,low
1299.txt,P1,GER,high
7942.txt,P6,GER,high
8228.txt,P7,GER,high
5225.txt,P4,GER,high
6393.txt,P5,GER,high
309.txt,P8,GER,high
3102.txt,P2,GER,high
4292.txt,P3,GER,medium
1773.txt,P1,GER,high
7907.txt,P6,GER,high
8923.txt,P7,GER,high
4406.txt,P4,GER,high
6215.txt,P5,GER,medium
10082.txt,P8,GER,high
2718.txt,P2,GER,high
3563.txt,P3,GER,medium
981.txt,P1,GER,medium
7423.txt,P6,GER,medium
8160.txt,P7,GER,high
4857.txt,P4,GER,high
6443.txt,P5,GER,medium
10230.txt,P8,GER,high
2114.txt,P2,GER,medium
3771.txt,P3,GER,high
676.txt,P1,GER,high
7751.txt,P6,GER,high
8377.txt,P7,GER,medium
4754.txt,P4,GER,high
6478.txt,P5,GER,high
10462.txt,P8,GER,medium
3154.txt,P2,GER,medium
3387.txt,P3,GER,high
498.txt,P1,GER,high
7574.txt,P6,GER,high
8603.txt,P7,GER,medium
5188.txt,P4,GER,medium
6816.txt,P5,GER,high
10041.txt,P8,GER,medium
2711.txt,P2,GER,medium
3578.txt,P3,GER,high
724.txt,P1,GER,high
7673.txt,P6,GER,high
8310.txt,P7,GER,high
4790.txt,P4,GER,high
5778.txt,P5,GER,medium
10662.txt,P8,GER,high
2173.txt,P2,GER,high
3935.txt,P3,GER,high
978.txt,P1,GER,medium
7248.txt,P6,GER,high
8516.txt,P7,GER,high
5659.txt,P4,GER,high
7084.txt,P5,GER,medium
9699.txt,P8,GER,high
2814.txt,P2,GER,medium
3449.txt,P3,GER,high
1194.txt,P1,GER,medium
7834.txt,P6,GER,medium
8335.txt,P7,GER,medium
4553.txt,P4,GER,high
6765.txt,P5,GER,medium
10552.txt,P8,GER,high
2960.txt,P2,GER,high
3399.txt,P3,GER,high
802.txt,P1,GER,medium
7923.txt,P6,GER,high
8245.txt,P7,GER,high
5286.txt,P4,GER,high
7059.txt,P5,GER,medium
9643.txt,P8,GER,high
2408.txt,P2,GER,high
3338.txt,P3,GER,high
1530.txt,P1,GER,medium
7723.txt,P6,GER,medium
258.txt,P7,GER,high
4791.txt,P4,GER,high
6702.txt,P5,GER,medium
10344.txt,P8,GER,high
2369.txt,P2,GER,medium
3937.txt,P3,GER,medium
1165.txt,P1,GER,high
7308.txt,P6,GER,high
8025.txt,P7,GER,high
4968.txt,P4,GER,medium
6022.txt,P5,GER,high
9591.txt,P8,GER,medium
2580.txt,P2,GER,high
3821.txt,P3,GER,high
1747.txt,P1,GER,medium
